name:,url:,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:
polymath-core,https://github.com/PolymathNetwork/polymath-core,JavaScript,49,5,36,4,0.0,5,5,2,0.4,61,0.37095
ren-js,https://github.com/renproject/ren-js,TypeScript,34,0,9,1,5.6,21,6,5,0.7,22,0.37669
ckb,https://github.com/nervosnetwork/ckb,Rust,51,0,39,3,15.8,22,116,108,3.2,454,0.60678
flux,https://github.com/RunOnFlux/flux,JavaScript,32,0,47,3,18.5,51,99,95,0.6,12,0.4994
governance-contracts,https://github.com/dydxfoundation/governance-contracts,Solidity,8,2,5,0,1.8,0,10,8,0.1,0,0.12976
digibyte,https://github.com/DigiByte-Core/digibyte,C++,153,8,744,3,1.3,1,10,5,2.0,0,0.41656
wallet-core,https://github.com/trustwallet/wallet-core,C++,38,0,88,5,3.1,39,168,158,1.4,6,0.52711
ens,https://github.com/ensdomains/ens,JavaScript,72,14,41,7,0.0,1,4,1,0.2,592,0.3946
perpetual-protocol,https://github.com/perpetual-protocol/perpetual-protocol,TypeScript,17,2,13,2,4.7,0,3,2,0.7,0,0.24007
nucypher,https://github.com/nucypher/nucypher,Python,56,0,44,3,17.0,1,135,119,0.8,99,0.50845
nano-node,https://github.com/nanocurrency/nano-node,C++,96,0,82,2,8.3,3,167,98,0.9,230,0.54286
PLA,https://github.com/playdapp/PLA,JavaScript,23,23,1,0,0.0,0,3,0,0.0,0,0.02872
BTRST-Contracts,https://github.com/Snowfork/BTRST-Contracts,JavaScript,31,3,6,1,0.9,0,5,2,0.2,0,0.1774
casper-node,https://github.com/casper-network/casper-node,Rust,23,0,36,1,51.8,15,513,397,1.1,103,0.52796
frax-solidity,https://github.com/FraxFinance/frax-solidity,Solidity,22,0,12,4,2.7,0,16,16,0.1,25,0.35062
saros-sdk,https://github.com/coin98/saros-sdk,JavaScript,2,2,1,0,0.1,0,0,0,0.0,0,0.02077
persistenceCore,https://github.com/persistenceOne/persistenceCore,Go,33,0,16,7,1.1,6,17,17,0.2,17,0.41365
goCeler-oss,https://github.com/celer-network/goCeler-oss,Go,26,9,3,0,0.0,8,1,0,1.0,0,0.13608
lisk-core,https://github.com/LiskHQ/lisk-core,TypeScript,41,0,22,7,3.7,12,42,32,0.3,88,0.4942
winklink,https://github.com/wink-link/winklink,Java,18,6,13,1,1.3,1,2,0,0.0,0,0.16555
origin,https://github.com/OriginProtocol/origin,JavaScript,104,4,191,2,0.1,0,27,5,0.2,494,0.42983
injective-ts,https://github.com/InjectiveLabs/injective-ts,TypeScript,30,0,6,1,8.6,114,16,13,0.1,12,0.35717
agents-aea,https://github.com/fetchai/agents-aea,Python,32,3,22,6,16.6,7,32,17,0.6,158,0.47475
node-prod-firmware,https://github.com/mxc-foundation/node-prod-firmware,C,62,32,8,0,0.0,0,0,0,0.0,0,0.07656
xyo-foundation,https://github.com/XYOracleNetwork/xyo-foundation,None,35,6,6,2,0.0,0,1,0,1.0,0,0.18203
client-xyo-nodejs,https://github.com/XYOracleNetwork-v1/client-xyo-nodejs,TypeScript,34,23,6,3,0.0,0,4,0,0.0,0,0.14214
panacea-core,https://github.com/medibloc/panacea-core,Go,32,0,9,2,2.0,4,42,28,0.2,0,0.30768
coti-node,https://github.com/coti-io/coti-node,Java,46,0,14,3,1.5,6,3,2,0.7,0,0.32729
ontology,https://github.com/ontio/ontology,Go,65,0,72,2,1.4,11,27,26,0.4,81,0.47353
fx-core,https://github.com/FunctionX/fx-core,Go,8,2,6,0,1.2,5,20,19,1.5,0,0.20671
requestNetwork,https://github.com/RequestNetwork/requestNetwork,TypeScript,53,0,29,5,5.6,2,111,99,1.0,46,0.4943
moonbeam,https://github.com/PureStake/moonbeam,TypeScript,25,0,26,4,14.0,58,286,237,1.0,86,0.54124
orbs-network-go,https://github.com/orbs-network/orbs-network-go,Go,46,2,24,3,0.1,1,1,1,0.0,285,0.34942
contract,https://github.com/BitcoinHEX/contract,Solidity,47,36,2,0,0.0,0,1,0,1.0,0,0.07093
java-tron,https://github.com/tronprotocol/java-tron,Java,52,1,227,2,19.1,10,133,116,1.0,14036,0.64553
lido-dao,https://github.com/lidofinance/lido-dao,JavaScript,21,5,25,3,4.2,5,40,14,0.3,30,0.367
frax-solidity,https://github.com/FraxFinance/frax-solidity,Solidity,22,0,12,4,2.7,0,16,16,0.1,25,0.35062
osmosis,https://github.com/osmosis-labs/osmosis,Go,17,0,54,3,11.0,22,534,420,1.7,16,0.52597
ton,https://github.com/newton-blockchain/ton,C++,31,2,10,1,1.1,1,25,13,0.4,2,0.25803
node,https://github.com/chainbing/node,Go,8,2,1,0,0.5,0,0,0,0,0,0.053
ain,https://github.com/DeFiCh/ain,C++,153,0,824,3,11.1,33,207,164,0.9,31,0.63396
venus-protocol,https://github.com/VenusProtocol/venus-protocol,Solidity,18,0,15,4,3.3,1,43,36,0.8,20,0.3956
bitdao-interface,https://github.com/bitdao-io/bitdao-interface,Vue,10,0,4,2,2.1,0,0,0,0,0,0.17645
counos-X,https://github.com/counos-platform/counos-X,C++,153,2,707,3,0.3,1,0,0,0,0,0.35684
wemix-token,https://github.com/wemade-tree/wemix-token,Solidity,22,7,3,3,0.0,0,0,0,0,0,0.13222
TheTransferToken,https://github.com/atom-solutions/TheTransferToken,Solidity,24,3,3,2,0.0,0,0,0,0,0,0.13715
mobilecoin,https://github.com/mobilecoinfoundation/mobilecoin,Rust,24,0,36,3,10.5,6,612,495,0.8,6,0.47008
rocketpool,https://github.com/rocket-pool/rocketpool,JavaScript,59,1,18,4,4.9,2,14,3,0.2,68,0.40551
radio-caca,https://github.com/radiocaca/radio-caca,Solidity,5,5,1,10,0.0,0,0,0,0,0,0.1368
Astar,https://github.com/AstarNetwork/Astar,Rust,37,0,15,3,2.8,27,78,66,0.8,0,0.39956
boba,https://github.com/bobanetwork/boba,Go,19,0,52,2,38.0,4,45,30,1.3,0,0.41368
ot-node,https://github.com/OriginTrail/ot-node,JavaScript,50,3,38,6,2.5,17,198,155,0.8,129,0.5157
smart-contracts,https://github.com/reserve-protocol/smart-contracts,JavaScript,58,14,17,4,0.0,0,0,0,0,0,0.19241
status-go,https://github.com/status-im/status-go,Go,70,0,79,5,7.7,20,147,112,2.2,83,0.60067
npm-civic-sip-api,https://github.com/civicteam/npm-civic-sip-api,JavaScript,59,14,11,3,0.0,2,1,0,0.0,0,0.19506
mvltoken,https://github.com/mvlchain/mvltoken,JavaScript,49,46,1,1,0.0,0,0,0,0,0,0.05467
constellation,https://github.com/Constellation-Labs/constellation,Scala,53,1,24,5,2.1,44,6,6,0.0,15,0.41236
govern,https://github.com/aragon/govern,TypeScript,18,1,21,7,4.3,7,22,9,0.4,37,0.42521
AElf,https://github.com/AElfProject/AElf,C#,53,7,64,2,1.5,1,3,0,1.0,5996,0.439
origin,https://github.com/energywebfoundation/origin,TypeScript,32,0,39,3,33.4,347,99,80,0.1,129,0.52824
Divi,https://github.com/DiviProject/Divi,C++,51,3,26,11,24.9,1,2,0,0.0,16,0.39779
orchid,https://github.com/OrchidTechnologies/orchid,C++,46,0,19,4,11.0,13,21,5,0.6,62,0.47354
numerapi,https://github.com/numerai/numerapi,Python,64,11,25,1,0.2,4,0,0,0,2,0.21699
aurora-engine,https://github.com/aurora-is-near/aurora-engine,Rust,13,0,10,4,2.8,26,76,57,1.2,5,0.41513
reef-client,https://github.com/reef-defi/reef-client,TypeScript,19,6,9,0,1.0,0,0,0,0,16,0.15197
verge,https://github.com/vergecurrency/verge,C++,75,2,71,5,0.3,6,3,2,1.0,171,0.46341
straitsx-tokens,https://github.com/Xfers/straitsx-tokens,JavaScript,32,17,9,1,0.0,0,0,0,0,0,0.11249
hedgtokenmint,https://github.com/rublixdev/hedgtokenmint,None,42,36,2,1,0.0,0,0,0,0,0,0.06804
mango,https://github.com/blockworks-foundation/mango,Rust,16,7,12,0,1.9,9,0,0,0,197,0.2434
augur,https://github.com/AugurProject/augur,TypeScript,89,5,108,3,0.0,6,6,0,0.0,2412,0.45187
ssv-web,https://github.com/bloxapp/ssv-web,TypeScript,11,0,6,2,7.1,0,1,0,1.0,7,0.27572
thor,https://github.com/vechain/thor,Go,53,0,21,2,4.9,4,10,9,0.4,57,0.41564
crowdsale,https://github.com/stormxio/crowdsale,JavaScript,55,52,3,1,0.0,0,0,0,0,0,0.07365
steem,https://github.com/steemit/steem,C++,73,25,79,5,0.0,16,6,4,0.7,2654,0.47363
rmrk-tools,https://github.com/rmrk-team/rmrk-tools,JavaScript,19,0,7,4,20.9,196,20,15,0.3,117,0.45813
chain,https://github.com/bandprotocol/chain,Go,28,3,24,5,6.3,13,10,5,0.6,17,0.40708
rif-faucet-client,https://github.com/rsksmart/rif-faucet-client,CSS,35,8,7,1,0.0,2,0,0,0,0,0.14507
Maskbook,https://github.com/DimensionDev/Maskbook,TypeScript,37,0,55,4,38.9,69,1077,903,1.4,64,0.60823
alpha-homora-v1-eth-contract,https://github.com/AlphaFinanceLab/alpha-homora-v1-eth-contract,Solidity,18,11,4,1,0.0,1,0,0,0,0,0.10211
eth-web-app,https://github.com/Mirror-Protocol/eth-web-app,SCSS,16,4,2,2,0.2,0,0,0,0,0,0.11738
polkastarter-js,https://github.com/polkastarter/polkastarter-js,JavaScript,17,0,8,2,6.7,0,26,17,0.1,5,0.29916
derosuite,https://github.com/deroproject/derosuite,Go,51,0,3,0,0.0,1,9,6,0.7,55,0.27163
core,https://github.com/ArkEcosystem/core,TypeScript,53,0,50,5,3.1,7,248,247,0.1,3555,0.58236
funfair-trulioo-client,https://github.com/funfair-tech/funfair-trulioo-client,C#,35,0,4,2,7.0,23,3,3,0.0,0,0.29755
venus-protocol,https://github.com/VenusProtocol/venus-protocol,Solidity,18,0,15,4,3.3,1,43,36,0.8,20,0.3956
go-kardia,https://github.com/kardiachain/go-kardia,Go,46,0,23,3,5.8,8,21,10,0.2,207,0.46347
DEP,https://github.com/Digita-Entertainment-Asset/DEP,None,25,25,1,0,0.0,0,0,0,0,0,0.01915
deeper-chain,https://github.com/deeper-chain/deeper-chain,Rust,17,0,15,1,3.1,6,85,76,0.6,4,0.34983
utrust-ts-library,https://github.com/utrustdev/utrust-ts-library,TypeScript,16,11,4,1,0.1,4,2,1,0.5,0,0.14694
truefi-spec,https://github.com/trusttoken/truefi-spec,None,20,5,10,2,0.3,0,0,0,0,0,0.15534
thetan-token,https://github.com/thetanarena/thetan-token,Solidity,7,7,1,1,0.1,0,0,0,0,0,0.05478
badger-system,https://github.com/Badger-Finance/badger-system,Python,16,8,29,3,9.3,0,20,4,0.1,33,0.3167
BitcoinDiamond,https://github.com/eveybcd/BitcoinDiamond,C++,153,35,730,3,0.0,1,0,0,0,2,0.312
snet-dapp,https://github.com/singnet/snet-dapp,JavaScript,37,7,23,4,2.5,0,0,0,0,105,0.30993
neutrino-contract,https://github.com/waves-exchange/neutrino-contract,JavaScript,32,8,10,2,0.2,7,0,0,0,0,0.19223
NineChronicles,https://github.com/planetarium/NineChronicles,C#,17,0,27,1,52.2,92,450,438,0.4,117,0.50751
balancer-core,https://github.com/balancer-labs/balancer-core,Solidity,33,23,11,1,0.0,0,1,0,0.0,198,0.2109
ampleforth-contracts,https://github.com/ampleforth/ampleforth-contracts,TypeScript,46,0,11,3,0.7,2,9,8,1.0,0,0.32024
keep3r.network,https://github.com/keep3r-network/keep3r.network,Solidity,17,12,13,2,0.0,0,0,0,0,3,0.15965
Forth,https://github.com/ampleforth/Forth,Solidity,12,9,6,3,0.2,1,0,0,0,0,0.14368
Booking-SC,https://github.com/travala/Booking-SC,C#,49,42,2,1,0.0,0,0,0,0,0,0.06806
HighStreet,https://github.com/TravisBuilds/HighStreet,JavaScript,12,6,6,1,3.7,0,0,0,0,0,0.1293
Adappter,https://github.com/sinestcorp/Adappter,Solidity,18,18,1,0,0.0,0,0,0,0,0,0.01915
smart-contract,https://github.com/ONUS-APP/smart-contract,Solidity,7,4,2,0,0.1,0,0,0,0,0,0.0435
pcl-smart-contract-old,https://github.com/Peculium-SAS/pcl-smart-contract-old,HTML,38,26,3,1,0.0,0,0,0,0,0,0.08132
token-profile,https://github.com/cobak-dev/token-profile,None,48,18,1372,2,0.0,0,0,0,0,0,0.27673
bitshares-core,https://github.com/bitshares/bitshares-core,C++,83,3,79,5,6.4,10,38,16,0.5,666,0.5392
VerusCoin,https://github.com/VerusCoin/VerusCoin,C++,153,0,539,4,17.8,21,20,17,0.0,314,0.61968
monacoin,https://github.com/monacoinproject/monacoin,C++,153,4,867,3,0.4,2,0,0,0,18,0.41123
contract,https://github.com/biopassport/contract,Solidity,18,18,1,1,0.0,0,0,0,0,0,0.05316
smart,https://github.com/gomining-token/smart,Solidity,10,10,1,0,0.0,0,2,1,0.0,0,0.03152
contract-core,https://github.com/tranchess/contract-core,TypeScript,12,0,3,0,9.6,11,34,33,0.0,0,0.23468
PNY,https://github.com/decenomy/PNY,C++,153,2,443,3,7.0,5,1,1,3.0,0,0.4629
swap-contracts,https://github.com/trustswap/swap-contracts,Solidity,14,12,3,2,0.0,0,0,0,0,0,0.09571
position-token,https://github.com/PositionExchange/position-token,TypeScript,8,8,1,1,0.2,0,0,0,0,0,0.05626
venus-protocol,https://github.com/VenusProtocol/venus-protocol,Solidity,18,0,15,4,3.3,1,43,36,0.8,20,0.3956
gttc,https://github.com/TTCECO/gttc,Go,47,6,5,2,0.0,4,2,1,0.5,7,0.24622
xenioscoin,https://github.com/xeniosproject/xenioscoin,C++,20,2,1,0,0.0,0,0,0,0,3,0.09174
contractV2,https://github.com/DODOEX/contractV2,Solidity,21,1,8,2,4.6,0,0,0,0,87,0.28304
steem,https://github.com/steemit/steem,C++,73,25,79,5,0.0,16,6,4,0.7,2654,0.47363
token,https://github.com/nftylabs/token,Solidity,6,6,1,1,0.0,0,0,0,0,0,0.05316
dev,https://github.com/liquity/dev,JavaScript,28,0,14,3,6.0,10,55,42,1.1,880,0.50821
NYE,https://github.com/nyecoin/NYE,C++,34,34,1,0,0.0,0,0,0,0,0,0.01915
CoinLoanToken,https://github.com/coinloan/CoinLoanToken,None,38,38,1,1,0.0,0,0,0,0,0,0.05316
nuls-v2,https://github.com/nuls-io/nuls-v2,Java,42,3,33,3,0.1,7,14,14,0.0,866,0.42114
beam,https://github.com/BeamMW/beam,C++,49,0,41,4,31.9,11,32,20,1.1,1301,0.58727
0xmons-contracts-new,https://github.com/0xmons/0xmons-contracts-new,HTML,16,7,1,0,0.2,0,0,0,0,0,0.04074
bytom,https://github.com/Bytom/bytom,Go,57,5,51,5,4.6,5,2,1,0.0,130,0.41382
